"Name","DeclLine","Helpers","PublisherCount","Publishers","SubscriberCount","Subscribers","Status"
"OnHUDHideInteractionPrompt","285","RaiseHUDHideInteractionPrompt","4","Assets/_Project/Scripts/Integration/TuningPedestalLink.cs:35; Assets/_Project/Scripts/Integration/CombatWaveManager.cs:467; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:13; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:486","4","Assets/_Project/Scripts/Integration/Moon1InteractionPrompt.cs:48; Assets/_Project/Scripts/Integration/Moon1InteractionPrompt.cs:55; Assets/_Project/Scripts/UI/HUDController.cs:155; Assets/_Project/Scripts/UI/HUDController.cs:191","HEALTHY"
"OnHUDSaveConflictPrompt","334","FireHUDSaveConflictPrompt","1","Assets/_Project/Scripts/Save/SaveManager.cs:195","2","Assets/_Project/Scripts/UI/HUDController.cs:142; Assets/_Project/Scripts/UI/HUDController.cs:178","HEALTHY"
"OnHUDShowBanner","243","RaiseHUDShowBanner","23","Assets/_Project/Scripts/Integration/Moon1AnastasiaController.cs:18; Assets/_Project/Scripts/Integration/Moon1AnastasiaController.cs:81; Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:247; Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:267; Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:283; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:279; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:365; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:409; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:462; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:547; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:585; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:613; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:680; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:684; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:816; Assets/_Project/Scripts/Integration/MiloController.cs:182; Assets/_Project/Scripts/Integration/MiloController.cs:262; Assets/_Project/Scripts/Integration/LiraelController.cs:196; Assets/_Project/Scripts/Integration/LiraelController.cs:207; Assets/_Project/Scripts/Integration/LiraelController.cs:328; Assets/_Project/Scripts/Integration/PointOfInterest.cs:118; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:11; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:460","2","Assets/_Project/Scripts/UI/HUDController.cs:148; Assets/_Project/Scripts/UI/HUDController.cs:184","HEALTHY"
"OnHUDShowBossHealth","261","RaiseHUDShowBossHealth","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:151; Assets/_Project/Scripts/UI/HUDController.cs:187","BROKEN"
"OnHUDShowBossNameplate","297","RaiseHUDShowBossNameplate","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:157; Assets/_Project/Scripts/UI/HUDController.cs:193","BROKEN"
"OnHUDShowCorruptionWhisper","309","RaiseHUDShowCorruptionWhisper","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:159; Assets/_Project/Scripts/UI/HUDController.cs:195","BROKEN"
"OnHUDShowDialogue","237","RaiseHUDShowDialogue","2","Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:10; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:447","4","Assets/_Project/Scripts/Integration/YarnTutorialBinding.cs:68; Assets/_Project/Scripts/Integration/YarnTutorialBinding.cs:79; Assets/_Project/Scripts/UI/HUDController.cs:147; Assets/_Project/Scripts/UI/HUDController.cs:183","HEALTHY"
"OnHUDShowEnemyBark","303","RaiseHUDShowEnemyBark","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:158; Assets/_Project/Scripts/UI/HUDController.cs:194","BROKEN"
"OnHUDShowInteractionPrompt","279","RaiseHUDShowInteractionPrompt","21","Assets/_Project/Scripts/Integration/InteractableBuilding.cs:237; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:263; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:268; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:298; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:330; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:334; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:338; Assets/_Project/Scripts/Integration/InteractableBuilding.cs:342; Assets/_Project/Scripts/Integration/CampaignFlowController.cs:211; Assets/_Project/Scripts/Integration/CampaignFlowController.cs:253; Assets/_Project/Scripts/Integration/TuningPedestalLink.cs:28; Assets/_Project/Scripts/Integration/CombatWaveManager.cs:404; Assets/_Project/Scripts/Integration/CombatWaveManager.cs:462; Assets/_Project/Scripts/Integration/CombatWaveManager.cs:476; Assets/_Project/Scripts/Integration/QuestManager.cs:308; Assets/_Project/Scripts/Integration/QuestManager.cs:514; Assets/_Project/Scripts/Integration/ZoneTransitionSystem.cs:82; Assets/_Project/Scripts/Integration/ZoneTransitionSystem.cs:95; Assets/_Project/Scripts/Integration/PointOfInterest.cs:120; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:12; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:473","4","Assets/_Project/Scripts/Integration/Moon1InteractionPrompt.cs:47; Assets/_Project/Scripts/Integration/Moon1InteractionPrompt.cs:54; Assets/_Project/Scripts/UI/HUDController.cs:154; Assets/_Project/Scripts/UI/HUDController.cs:190","HEALTHY"
"OnHUDShowMoonTrophy","255","RaiseHUDShowMoonTrophy","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:150; Assets/_Project/Scripts/UI/HUDController.cs:186","BROKEN"
