"Name","DeclLine","Helpers","PublisherCount","Publishers","SubscriberCount","Subscribers","Status"
"OnPerformanceFallback","347","FirePerformanceFallback","2","Assets/_Project/Scripts/Core/GameBootstrap.cs:238; Assets/_Project/Scripts/Core/GameBootstrap.cs:262","0","","BROKEN"
"OnPermanentUnlockEarned","360","FirePermanentUnlockEarned","1","Assets/_Project/Scripts/Save/NewGamePlusSystem.cs:205","0","","BROKEN"
"OnPlayerDamaged","123","RaisePlayerDamaged","1","Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:125","2","Assets/_Project/Scripts/Combat/HitFeedback.cs:128; Assets/_Project/Scripts/Combat/HitFeedback.cs:133","HEALTHY"
"OnPlayerDeath","130","RaisePlayerDeath","2","Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:170; Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:171","0","","BROKEN"
"OnPlayerHealthChanged","143","RaisePlayerHealthChanged","0","","2","Assets/_Project/Scripts/UI/HUDLiveDataWiring.cs:26; Assets/_Project/Scripts/UI/HUDLiveDataWiring.cs:38","BROKEN"
"OnPlayerRespawned","137","RaisePlayerRespawned","2","Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:214; Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:216","0","","BROKEN"
"OnPOIDiscovered","442","FirePOIDiscovered","1","Assets/_Project/Scripts/Integration/PointOfInterest.cs:110","2","Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:431; Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:442","HEALTHY"
"OnQuestObjectiveProgressed","95","FireQuestObjectiveCompleted,RaiseQuestObjectiveProgressed","1","Assets/_Project/Scripts/Integration/QuestManager.cs:343","0","","BROKEN"
"OnQuestStatusChanged","89","FireQuestActivated,FireQuestCompleted,RaiseQuestStatusChanged","6","Assets/_Project/Scripts/Integration/Moon1QuestTriggers.cs:123; Assets/_Project/Scripts/Integration/QuestManager.cs:297; Assets/_Project/Scripts/Integration/QuestManager.cs:298; Assets/_Project/Scripts/Integration/QuestManager.cs:473; Assets/_Project/Scripts/Integration/QuestManager.cs:493; Assets/_Project/Scripts/Integration/QuestManager.cs:494","8","Assets/_Project/Scripts/Integration/CampaignFlowController.cs:86; Assets/_Project/Scripts/Integration/CampaignFlowController.cs:97; Assets/_Project/Scripts/Integration/QuestLogUIPanel.cs:37; Assets/_Project/Scripts/Integration/QuestLogUIPanel.cs:50; Assets/_Project/Scripts/Integration/QuestToastNotification.cs:66; Assets/_Project/Scripts/Integration/QuestToastNotification.cs:77; Assets/_Project/Scripts/UI/QuestObjectiveTrackerUI.cs:34; Assets/_Project/Scripts/UI/QuestObjectiveTrackerUI.cs:40","HEALTHY"
"OnRemotePushNotificationReceived","331","FireRemotePushNotification","0","","0","","UNUSED"
